user_id,planid,event_type,label,date,claim_amount
U0068,PL1010,view,0,2025-09-23,
U0367,PL1007,claim_approved,1,2024-10-02,368342.0
U0333,PL1003,view,0,2025-09-14,
U0236,PL1008,click,0,2024-06-13,
U0292,PL1057,view,0,2025-06-05,
U0020,PL1053,view,0,2025-01-18,
U0075,PL1038,view,0,2024-06-10,
U0498,PL1031,click,0,2024-04-21,
U0023,PL1019,view,0,2025-07-28,
U0040,PL1028,view,0,2024-10-02,
U0054,PL1057,click,0,2025-03-10,
U0157,PL1031,view,0,2025-09-11,
U0179,PL1001,view,0,2024-10-24,
U0124,PL1043,view,0,2024-09-09,
U0406,PL1002,view,0,2024-05-10,
U0277,PL1011,view,0,2025-05-06,
U0031,PL1032,view,0,2025-06-09,
U0188,PL1012,view,0,2024-11-22,
U0139,PL1033,view,0,2025-08-20,
U0466,PL1003,view,0,2025-04-25,
U0185,PL1046,view,0,2024-08-31,
U0287,PL1041,view,0,2024-06-08,
U0076,PL1060,click,0,2024-06-05,
U0360,PL1056,view,0,2025-04-09,
U0062,PL1036,click,0,2024-07-09,
U0176,PL1006,view,0,2025-03-24,
U0169,PL1038,click,0,2025-06-17,
U0063,PL1004,view,0,2025-01-12,
U0012,PL1007,view,0,2025-04-23,
U0269,PL1056,click,0,2024-11-03,
U0099,PL1009,view,0,2025-07-20,
U0437,PL1058,view,0,2024-12-11,
U0193,PL1031,view,0,2025-07-03,
U0447,PL1040,click,0,2024-06-16,
U0292,PL1029,view,0,2025-07-18,
U0160,PL1035,click,0,2024-06-17,
U0455,PL1025,shortlist,0,2024-09-26,
U0458,PL1001,view,0,2024-07-26,
U0450,PL1011,view,0,2024-11-25,
U0315,PL1010,view,0,2025-04-27,
U0010,PL1008,click,0,2024-06-04,
U0314,PL1051,view,0,2025-04-14,
U0192,PL1030,shortlist,0,2025-07-21,
U0045,PL1024,view,0,2025-07-30,
U0338,PL1034,click,0,2025-05-02,
U0292,PL1014,view,0,2024-08-26,
U0495,PL1050,view,0,2024-09-05,
U0434,PL1007,click,0,2024-11-23,
U0458,PL1030,click,0,2025-04-28,
U0248,PL1047,view,0,2025-01-07,
U0101,PL1042,view,0,2024-12-21,
U0025,PL1011,click,0,2024-12-24,
U0434,PL1014,click,0,2024-08-19,
U0385,PL1058,shortlist,0,2024-07-06,
U0433,PL1046,view,0,2024-09-06,
U0070,PL1042,view,0,2024-08-22,
U0447,PL1014,shortlist,0,2024-05-27,
U0471,PL1058,click,0,2025-04-23,
U0337,PL1022,view,0,2024-10-11,
U0356,PL1047,view,0,2024-06-19,
U0054,PL1034,view,0,2025-09-02,
U0292,PL1040,click,0,2025-06-16,
U0465,PL1012,click,0,2024-10-26,
U0495,PL1040,click,0,2024-12-08,
U0393,PL1033,click,0,2024-10-27,
U0356,PL1045,click,0,2024-12-19,
U0100,PL1046,click,0,2025-03-06,
U0090,PL1050,view,0,2024-11-06,
U0277,PL1039,view,0,2024-04-09,
U0500,PL1059,view,0,2025-01-22,
U0214,PL1002,view,0,2025-09-01,
U0379,PL1038,click,0,2025-08-16,
U0292,PL1045,click,0,2024-11-14,
U0467,PL1015,view,0,2024-04-21,
U0459,PL1048,shortlist,0,2024-11-22,
U0340,PL1058,view,0,2025-02-18,
U0093,PL1053,view,0,2025-09-12,
U0099,PL1036,view,0,2025-02-07,
U0297,PL1016,view,0,2025-05-10,
U0467,PL1041,click,0,2025-07-23,
U0397,PL1052,click,0,2024-04-30,
U0092,PL1051,click,0,2024-08-24,
U0216,PL1028,view,0,2024-06-30,
U0432,PL1054,view,0,2024-09-18,
U0464,PL1059,click,0,2025-08-16,
U0346,PL1023,view,0,2025-02-09,
U0489,PL1026,view,0,2024-04-15,
U0297,PL1013,view,0,2024-05-14,
U0178,PL1010,view,0,2025-07-10,
U0075,PL1050,view,0,2024-10-17,
U0257,PL1006,click,0,2025-01-26,
U0128,PL1054,click,0,2024-09-30,
U0087,PL1006,view,0,2025-07-16,
U0385,PL1007,view,0,2025-03-13,
U0326,PL1058,click,0,2025-05-09,
U0357,PL1037,view,0,2025-01-13,
U0322,PL1041,view,0,2024-06-08,
U0018,PL1050,click,0,2024-12-09,
U0016,PL1021,click,0,2025-02-03,
U0011,PL1021,click,0,2025-08-25,
U0359,PL1039,view,0,2024-09-17,
U0083,PL1057,view,0,2024-09-24,
U0170,PL1046,view,0,2025-04-03,
U0144,PL1035,click,0,2024-08-08,
U0265,PL1037,view,0,2025-04-05,
U0189,PL1050,click,0,2024-08-07,
U0324,PL1044,click,0,2024-05-26,
U0208,PL1041,view,0,2024-09-14,
U0415,PL1016,click,0,2024-08-15,
U0147,PL1048,view,0,2024-06-07,
U0015,PL1034,view,0,2025-05-18,
U0372,PL1005,view,0,2025-07-20,
U0393,PL1034,click,0,2025-03-22,
U0042,PL1054,click,0,2024-06-11,
U0369,PL1032,view,0,2024-04-11,
U0045,PL1007,shortlist,0,2024-06-13,
U0442,PL1034,view,0,2024-10-22,
U0010,PL1041,view,0,2025-03-10,
U0295,PL1054,view,0,2024-11-11,
U0253,PL1017,view,0,2025-01-07,
U0071,PL1020,view,0,2024-07-13,
U0006,PL1033,click,0,2025-09-21,
U0469,PL1061,view,0,2024-12-14,
U0377,PL1029,click,0,2025-01-19,
U0260,PL1051,click,0,2024-07-02,
U0353,PL1049,shortlist,0,2024-04-13,
U0027,PL1005,click,0,2024-05-13,
U0369,PL1014,shortlist,0,2025-04-22,
U0139,PL1040,click,0,2024-10-03,
U0186,PL1056,view,0,2024-07-03,
U0450,PL1020,view,0,2025-07-22,
U0492,PL1046,click,0,2025-07-20,
U0391,PL1051,shortlist,0,2024-09-05,
U0184,PL1032,view,0,2025-01-30,
U0348,PL1034,shortlist,0,2024-10-30,
U0108,PL1046,view,0,2024-06-25,
U0202,PL1014,click,0,2024-11-24,
U0140,PL1020,view,0,2024-05-05,
U0056,PL1053,view,0,2024-07-19,
U0065,PL1008,view,0,2024-11-26,
U0134,PL1060,view,0,2024-10-22,
U0105,PL1002,view,0,2024-07-16,
U0372,PL1017,view,0,2024-11-11,
U0178,PL1057,click,0,2025-02-07,
U0169,PL1035,click,0,2024-12-31,
U0365,PL1001,shortlist,0,2024-12-24,
U0092,PL1061,view,0,2025-02-19,
U0298,PL1043,view,0,2025-02-25,
U0031,PL1025,click,0,2024-08-03,
U0029,PL1059,view,0,2024-10-11,
U0067,PL1043,click,0,2025-09-14,
U0078,PL1038,view,0,2024-07-07,
U0398,PL1052,click,0,2024-08-02,
U0103,PL1046,view,0,2024-04-18,
U0117,PL1011,view,0,2024-05-22,
U0231,PL1035,view,0,2025-09-10,
