plan_id,hospital_id,is_in_network,contract_type,rank,distance_score,added_on
PL10001,H200801,yes,cashless,1,2.273,2025-09-30
PL10001,H200071,yes,cashless,2,9.787,2025-09-30
PL10001,H200250,yes,cashless,3,35.722,2025-09-30
PL10001,H200174,yes,cashless,4,32.861,2025-09-30
PL10001,H200566,yes,cashless,5,2.093,2025-09-30
PL10001,H200541,yes,cashless,6,48.326,2025-09-30
PL10001,H200401,yes,cashless,7,7.839,2025-09-30
PL10001,H200179,yes,cashless,8,2.154,2025-09-30
PL10001,H200937,yes,cashless,9,34.881,2025-09-30
PL10001,H200331,yes,reimbursement,10,17.41,2025-09-30
PL10001,H200526,yes,cashless,11,35.07,2025-09-30
PL10001,H200837,yes,cashless,12,15.371,2025-09-30
PL10001,H200291,yes,cashless,13,47.477,2025-09-30
PL10001,H200701,yes,empanelled,14,9.757,2025-09-30
PL10001,H200123,yes,cashless,15,14.09,2025-09-30
PL10001,H200030,yes,reimbursement,16,47.657,2025-09-30
PL10001,H200778,yes,cashless,17,34.851,2025-09-30
PL10001,H200292,yes,reimbursement,18,25.889,2025-09-30
PL10001,H200457,yes,cashless,19,47.692,2025-09-30
PL10001,H200024,yes,cashless,20,40.319,2025-09-30
PL10001,H200076,yes,reimbursement,21,38.262,2025-09-30
PL10001,H200677,yes,cashless,22,10.28,2025-09-30
PL10001,H200119,yes,reimbursement,23,48.813,2025-09-30
PL10001,H200528,yes,cashless,24,10.879,2025-09-30
PL10001,H200619,yes,cashless,25,43.785,2025-09-30
PL10001,H200196,yes,empanelled,26,10.357,2025-09-30
PL10001,H200796,yes,reimbursement,27,12.549,2025-09-30
PL10001,H200723,yes,cashless,28,48.614,2025-09-30
PL10001,H200212,yes,cashless,29,41.086,2025-09-30
PL10001,H200078,yes,cashless,30,2.757,2025-09-30
PL10001,H200035,yes,cashless,31,2.688,2025-09-30
PL10001,H200453,yes,cashless,32,12.816,2025-09-30
PL10001,H200381,yes,cashless,33,46.178,2025-09-30
PL10001,H200791,yes,cashless,34,5.644,2025-09-30
PL10001,H200606,yes,cashless,35,3.014,2025-09-30
PL10001,H200527,yes,reimbursement,36,38.566,2025-09-30
PL10001,H200521,yes,cashless,37,28.223,2025-09-30
PL10001,H200325,yes,cashless,38,24.566,2025-09-30
PL10001,H200396,yes,cashless,39,39.0,2025-09-30
PL10001,H200194,yes,reimbursement,40,41.431,2025-09-30
PL10001,H200042,yes,reimbursement,41,32.122,2025-09-30
PL10001,H200491,yes,cashless,42,39.731,2025-09-30
PL10001,H200082,yes,cashless,43,29.805,2025-09-30
PL10001,H200033,yes,cashless,44,9.06,2025-09-30
PL10001,H200187,yes,reimbursement,45,25.186,2025-09-30
PL10001,H200405,yes,cashless,46,27.138,2025-09-30
PL10001,H200389,yes,reimbursement,47,11.48,2025-09-30
PL10001,H200432,yes,cashless,48,4.85,2025-09-30
PL10001,H200327,yes,reimbursement,49,24.945,2025-09-30
PL10001,H200872,yes,cashless,50,17.248,2025-09-30
PL10001,H200621,yes,cashless,51,33.3,2025-09-30
PL10001,H200848,yes,cashless,52,33.913,2025-09-30
PL10001,H200347,yes,reimbursement,53,25.207,2025-09-30
PL10001,H200529,yes,empanelled,54,5.705,2025-09-30
PL10001,H200787,yes,cashless,55,13.494,2025-09-30
PL10001,H200093,yes,cashless,56,17.056,2025-09-30
PL10001,H200746,yes,reimbursement,57,42.213,2025-09-30
PL10001,H200298,yes,reimbursement,58,37.73,2025-09-30
PL10001,H200036,yes,reimbursement,59,32.015,2025-09-30
PL10001,H200858,yes,cashless,60,29.892,2025-09-30
PL10001,H200686,yes,cashless,61,19.491,2025-09-30
PL10001,H200679,yes,reimbursement,62,12.846,2025-09-30
PL10001,H200484,yes,cashless,63,26.093,2025-09-30
PL10001,H200735,yes,cashless,64,29.179,2025-09-30
PL10001,H200739,yes,reimbursement,65,44.536,2025-09-30
PL10001,H200198,yes,cashless,66,0.266,2025-09-30
PL10001,H200744,yes,reimbursement,67,31.855,2025-09-30
PL10001,H200607,yes,reimbursement,68,20.341,2025-09-30
PL10001,H200637,yes,cashless,69,15.89,2025-09-30
PL10001,H200173,yes,reimbursement,70,15.309,2025-09-30
PL10001,H200861,yes,reimbursement,71,20.291,2025-09-30
PL10001,H200340,yes,cashless,72,17.053,2025-09-30
