user_id,age,gender,marital_status,dependents,region,urban_rural
U0001,66,other,divorced,0,Karnataka,rural
U0002,52,female,single,0,Delhi,rural
U0003,24,female,divorced,1,Maharashtra,rural
U0004,41,other,widowed,1,Maharashtra,urban
U0005,43,female,married,2,Karnataka,urban
U0006,70,female,divorced,0,Tamil Nadu,semi-urban
U0007,71,male,widowed,0,Uttar Pradesh,semi-urban
U0008,55,other,widowed,0,Tamil Nadu,rural
U0009,21,female,single,2,Rajasthan,semi-urban
U0010,34,female,married,0,Kerala,semi-urban
U0011,37,other,divorced,3,Gujarat,urban
U0012,55,other,married,0,Maharashtra,urban
U0013,69,other,married,3,Maharashtra,rural
U0014,37,male,divorced,0,Tamil Nadu,urban
U0015,25,male,widowed,1,Rajasthan,semi-urban
U0016,74,female,widowed,1,Kerala,urban
U0017,69,male,married,3,Tamil Nadu,urban
U0018,65,other,married,2,Kerala,semi-urban
U0019,53,female,single,1,Gujarat,rural
U0020,36,other,divorced,0,Karnataka,urban
U0021,19,other,single,2,Kerala,semi-urban
U0022,42,male,married,0,Uttar Pradesh,semi-urban
U0023,74,female,married,3,Rajasthan,urban
U0024,29,male,married,3,Tamil Nadu,rural
U0025,29,male,divorced,1,Maharashtra,semi-urban
U0026,50,other,married,0,Gujarat,urban
U0027,42,other,married,3,Karnataka,rural
U0028,25,other,widowed,1,Rajasthan,rural
U0029,52,female,married,0,Maharashtra,urban
U0030,44,female,widowed,2,Karnataka,urban
U0031,46,female,widowed,0,Rajasthan,urban
U0032,27,female,divorced,0,Tamil Nadu,rural
U0033,60,male,married,3,Maharashtra,rural
U0034,38,male,divorced,2,Rajasthan,semi-urban
U0035,18,female,single,0,Kerala,urban
U0036,38,female,divorced,1,Delhi,rural
U0037,48,other,widowed,3,Gujarat,rural
U0038,70,male,widowed,0,Maharashtra,semi-urban
U0039,52,male,widowed,0,Karnataka,rural
U0040,36,other,single,0,Rajasthan,rural
U0041,46,other,married,0,Rajasthan,rural
U0042,53,male,single,0,Rajasthan,urban
U0043,27,male,single,3,Tamil Nadu,rural
U0044,52,female,single,3,Uttar Pradesh,semi-urban
U0045,52,male,divorced,0,Kerala,rural
U0046,49,female,widowed,0,Rajasthan,rural
U0047,29,male,divorced,0,Uttar Pradesh,rural
U0048,65,male,married,2,Gujarat,urban
