feature,importance
gender,0.9624810218811035
marital_status,0.0
avg_distance_score,0.0
cashless_percentage,0.0
reimbursement_percentage,0.0
premium_affordability,0.0
coverage_need_match,0.0
regional_match,0.0
age_premium_fit,0.0
claim_approval_rate,0.0
cashless_ratio,0.0
value_score,0.0
risk_alignment,0.0
has_accident_cover,0.0
loyalty_bonus,0.0
has_diabetes,0.0
has_hypertension,0.0
has_asthma,0.0
has_cancer_history,0.0
has_heart_disease,0.0
has_thyroid,0.0
has_kidney_disease,0.0
has_obesity,0.0
waitingperioddays,0.0
claimrejectionrate,0.0
networksize,0.0
plan_category,0.0
occupation,0.0
income_band,0.0
urban_rural,0.0
region,0.0
smoking_status,0.0
chronic_conditions,0.0
family_medical_history,0.0
existing_health_policy,0.0
plan_type,0.0
provider,0.0
coverageamount,0.0
age,0.0
dependents,0.0
avg_annual_spend,0.0
risk_score,0.0
claim_history_count,0.0
renewal_loyalty_years,0.0
premium,0.0
deductible,0.0
copay,0.0
has_disability,0.0
