hospital_id,name,state,city,pincode,bed_count,specialties,address,latitude,longitude,is_empanelled_public,created_at
H200000,Gurgaon Health Institute 4893,Haryana,Gurgaon,300000,774,"Oncology,ENT,Cardiology",192 Gurgaon Medical Road,11.106672,76.658725,no,2025-09-30
H200001,Vadodara Health Institute 9064,Gujarat,Vadodara,300001,402,"Cardiology,ENT,Oncology,Gastroenterology",86 Vadodara Medical Road,11.703654,82.379343,no,2025-09-30
H200002,Amritsar Health Institute 386,Punjab,Amritsar,300002,959,"General Medicine,ENT,Nephrology,Gastroenterology",84 Amritsar Medical Road,27.270858,71.577475,yes,2025-09-30
H200003,Gurgaon Health Institute 9472,Haryana,Gurgaon,300003,392,"Neurology,Pediatrics,ENT,General Medicine,Cardiology",62 Gurgaon Medical Road,29.829749,72.327609,no,2025-09-30
H200004,Surat Health Institute 9644,Gujarat,Surat,300004,908,"General Medicine,Orthopedics,Gastroenterology",5 Surat Medical Road,11.756812,72.582259,no,2025-09-30
H200005,Surat Health Institute 5305,Gujarat,Surat,300005,46,"General Medicine,Gastroenterology",41 Surat Medical Road,17.702511,83.981552,no,2025-09-30
H200006,Nagpur Health Institute 3529,Maharashtra,Nagpur,300006,1069,"Gastroenterology,General Medicine",8 Nagpur Medical Road,23.652599,74.515217,no,2025-09-30
H200007,Gurgaon Health Institute 5969,Haryana,Gurgaon,300007,264,"Cardiology,Gastroenterology,Nephrology",172 Gurgaon Medical Road,13.766063,71.270861,no,2025-09-30
H200008,South Delhi Health Institute 55,Delhi,South Delhi,300008,320,"Gastroenterology,Orthopedics",50 South Delhi Medical Road,14.606967,83.000467,yes,2025-09-30
H200009,Guwahati Health Institute 2981,Assam,Guwahati,300009,518,"General Medicine,Pediatrics,Orthopedics",91 Guwahati Medical Road,17.869378,71.559677,no,2025-09-30
H200010,Raipur Health Institute 6771,Chhattisgarh,Raipur,300010,1071,"Pediatrics,Cardiology,General Medicine,Nephrology,Neurology",100 Raipur Medical Road,23.703596,79.424698,no,2025-09-30
H200011,Raipur Health Institute 5412,Chhattisgarh,Raipur,300011,1182,"Orthopedics,General Medicine,Nephrology,Neurology",23 Raipur Medical Road,17.099007,78.333741,no,2025-09-30
H200012,New Delhi Health Institute 6083,Delhi,New Delhi,300012,92,"Gastroenterology,Pediatrics,Neurology,Orthopedics",230 New Delhi Medical Road,23.259342,74.236974,no,2025-09-30
H200013,Mangalore Health Institute 7301,Karnataka,Mangalore,300013,80,"Pediatrics,Orthopedics,General Medicine",43 Mangalore Medical Road,8.765125,80.049128,no,2025-09-30
H200014,Cuttack Health Institute 2980,Odisha,Cuttack,300014,578,"Neurology,Oncology,Pediatrics,Orthopedics",199 Cuttack Medical Road,9.887093,74.016868,no,2025-09-30
H200015,Hubli Health Institute 3109,Karnataka,Hubli,300015,348,"Orthopedics,Oncology",119 Hubli Medical Road,16.32081,72.018106,no,2025-09-30
H200016,Raipur Health Institute 5588,Chhattisgarh,Raipur,300016,823,"General Medicine,Neurology,Nephrology,Gastroenterology",77 Raipur Medical Road,22.45976,73.183088,no,2025-09-30
H200017,Vadodara Health Institute 4655,Gujarat,Vadodara,300017,97,"Cardiology,Neurology",282 Vadodara Medical Road,20.605013,87.226551,no,2025-09-30
H200018,Aurangabad Health Institute 2484,Maharashtra,Aurangabad,300018,1108,"Orthopedics,Gastroenterology,Neurology,ENT",13 Aurangabad Medical Road,17.293784,68.547051,no,2025-09-30
H200019,Nagpur Health Institute 7705,Maharashtra,Nagpur,300019,916,"Pediatrics,Nephrology",200 Nagpur Medical Road,28.015977,70.509203,no,2025-09-30
H200020,Bengaluru Health Institute 7966,Karnataka,Bengaluru,300020,263,"Orthopedics,General Medicine",27 Bengaluru Medical Road,15.721272,72.329811,yes,2025-09-30
H200021,Ranchi Health Institute 965,Jharkhand,Ranchi,300021,887,"Neurology,Pediatrics,Gastroenterology",84 Ranchi Medical Road,17.580017,78.865521,no,2025-09-30
H200022,Ranchi Health Institute 3416,Jharkhand,Ranchi,300022,1153,"Orthopedics,Gastroenterology,ENT",8 Ranchi Medical Road,24.265201,69.464253,no,2025-09-30
H200023,South Delhi Health Institute 2004,Delhi,South Delhi,300023,213,"Neurology,Nephrology,Orthopedics,Cardiology",255 South Delhi Medical Road,17.253054,81.780657,no,2025-09-30
H200024,Agra Health Institute 8265,Uttar Pradesh,Agra,300024,242,"Nephrology,Pediatrics",123 Agra Medical Road,17.992428,81.698198,no,2025-09-30
