user_id,income_band,avg_annual_spend,occupation
U0001,10-20L,180749,retired
U0002,3-6L,67583,homemaker
U0003,3-6L,91337,student
U0004,10-20L,89397,student
U0005,6-10L,54119,retired
U0006,>20L,20093,self-employed
U0007,3-6L,67005,retired
U0008,6-10L,75187,self-employed
U0009,10-20L,170463,retired
U0010,<3L,76326,student
U0011,>20L,51111,retired
U0012,>20L,16995,retired
U0013,>20L,19795,student
U0014,3-6L,95106,self-employed
U0015,6-10L,97480,self-employed
U0016,<3L,90312,student
U0017,3-6L,67789,retired
U0018,10-20L,45567,student
U0019,>20L,56259,retired
U0020,<3L,113202,retired
U0021,<3L,117175,self-employed
U0022,>20L,21516,retired
U0023,6-10L,68697,retired
U0024,10-20L,105009,self-employed
U0025,<3L,35108,self-employed
U0026,6-10L,76949,homemaker
U0027,6-10L,41835,salaried
U0028,6-10L,56081,self-employed
U0029,3-6L,63761,self-employed
U0030,3-6L,36881,salaried
U0031,10-20L,147898,retired
U0032,3-6L,20675,self-employed
U0033,<3L,87676,retired
U0034,<3L,90783,retired
U0035,10-20L,25834,student
U0036,3-6L,74692,self-employed
U0037,>20L,65785,retired
U0038,>20L,58472,retired
U0039,6-10L,33480,salaried
U0040,3-6L,15310,retired
U0041,<3L,76402,homemaker
U0042,10-20L,110354,homemaker
U0043,>20L,103027,homemaker
U0044,10-20L,81707,homemaker
U0045,>20L,98386,student
U0046,3-6L,29727,homemaker
U0047,>20L,21019,self-employed
U0048,6-10L,35800,retired
U0049,<3L,75938,student
U0050,10-20L,106935,homemaker
U0051,3-6L,90316,salaried
U0052,>20L,157575,student
U0053,3-6L,123074,retired
U0054,10-20L,116929,homemaker
U0055,3-6L,61358,homemaker
U0056,3-6L,80089,retired
U0057,3-6L,56437,salaried
U0058,>20L,94206,student
U0059,3-6L,127354,self-employed
U0060,10-20L,110013,student
U0061,>20L,67482,retired
U0062,>20L,44515,self-employed
U0063,<3L,22299,self-employed
U0064,10-20L,71549,salaried
U0065,10-20L,34094,retired
U0066,10-20L,65145,student
U0067,3-6L,13535,student
U0068,>20L,16809,salaried
U0069,10-20L,42184,salaried
U0070,<3L,41848,student
U0071,6-10L,119789,homemaker
U0072,<3L,102675,self-employed
U0073,>20L,82739,salaried
U0074,10-20L,46156,self-employed
U0075,>20L,15265,student
U0076,3-6L,66205,self-employed
U0077,>20L,107423,salaried
U0078,<3L,27957,salaried
U0079,6-10L,53353,homemaker
U0080,>20L,115326,retired
U0081,10-20L,14923,salaried
U0082,<3L,93130,salaried
U0083,<3L,153281,salaried
U0084,<3L,57767,homemaker
U0085,10-20L,64873,salaried
U0086,10-20L,72641,salaried
U0087,3-6L,17570,retired
U0088,6-10L,11190,self-employed
U0089,6-10L,50899,self-employed
U0090,10-20L,73298,self-employed
U0091,3-6L,55832,student
U0092,10-20L,87621,salaried
U0093,6-10L,11626,homemaker
U0094,6-10L,120878,retired
U0095,>20L,57308,salaried
U0096,<3L,69083,student
U0097,10-20L,88867,salaried
U0098,<3L,38134,retired
U0099,>20L,99793,student
U0100,10-20L,122224,student
U0101,10-20L,32875,salaried
U0102,10-20L,95924,self-employed
U0103,<3L,48400,homemaker
U0104,<3L,105817,salaried
U0105,6-10L,68801,homemaker
U0106,6-10L,6515,self-employed
U0107,6-10L,37157,student
U0108,6-10L,18373,salaried
U0109,6-10L,123118,salaried
U0110,10-20L,5031,self-employed
U0111,10-20L,27513,retired
U0112,6-10L,44727,student
U0113,6-10L,55798,student
U0114,>20L,27361,retired
U0115,<3L,33746,student
U0116,3-6L,138455,salaried
U0117,6-10L,43237,retired
U0118,10-20L,12177,retired
U0119,<3L,81921,student
U0120,10-20L,21513,retired
U0121,<3L,48938,homemaker
U0122,3-6L,44597,self-employed
U0123,3-6L,17802,retired
U0124,<3L,37579,self-employed
U0125,>20L,94586,salaried
U0126,<3L,132844,student
U0127,6-10L,72836,homemaker
U0128,6-10L,26241,student
U0129,6-10L,37707,student
U0130,10-20L,80468,self-employed
U0131,>20L,91823,salaried
U0132,3-6L,68476,homemaker
U0133,>20L,119275,retired
U0134,<3L,24483,salaried
U0135,<3L,10105,self-employed
U0136,10-20L,22011,retired
U0137,3-6L,54171,salaried
U0138,>20L,77833,homemaker
U0139,>20L,65864,salaried
U0140,<3L,70384,retired
U0141,>20L,41880,salaried
U0142,3-6L,47193,retired
U0143,6-10L,145846,retired
U0144,<3L,81494,self-employed
U0145,10-20L,107392,homemaker
U0146,6-10L,86948,retired
U0147,6-10L,92898,student
U0148,6-10L,12434,retired
U0149,6-10L,90864,self-employed
U0150,10-20L,73076,salaried
U0151,10-20L,43595,homemaker
U0152,6-10L,42359,self-employed
U0153,3-6L,100119,retired
U0154,>20L,83376,self-employed
U0155,3-6L,74223,salaried
U0156,3-6L,110658,self-employed
U0157,10-20L,82376,salaried
U0158,<3L,50548,retired
U0159,>20L,33862,student
U0160,6-10L,115159,self-employed
U0161,>20L,66664,salaried
U0162,>20L,96003,retired
U0163,3-6L,80117,self-employed
U0164,6-10L,92479,homemaker
U0165,>20L,7777,homemaker
U0166,3-6L,61487,homemaker
U0167,6-10L,20629,retired
U0168,<3L,33094,student
U0169,<3L,15669,retired
U0170,>20L,118783,retired
U0171,<3L,54968,student
U0172,>20L,9468,homemaker
U0173,10-20L,21858,self-employed
U0174,<3L,46383,retired
U0175,3-6L,36869,student
U0176,6-10L,38816,self-employed
U0177,10-20L,82265,self-employed
U0178,10-20L,6905,student
U0179,3-6L,23078,self-employed
U0180,>20L,14855,student
U0181,>20L,76924,retired
U0182,3-6L,80106,homemaker
U0183,<3L,35224,retired
U0184,<3L,95305,retired
U0185,>20L,54811,student
U0186,3-6L,79242,student
U0187,>20L,18471,homemaker
U0188,6-10L,25051,homemaker
U0189,6-10L,116789,retired
U0190,3-6L,95009,salaried
U0191,>20L,79863,homemaker
U0192,3-6L,163208,self-employed
U0193,<3L,45451,retired
U0194,>20L,113491,homemaker
U0195,<3L,67549,salaried
U0196,6-10L,10701,salaried
U0197,6-10L,140814,salaried
U0198,3-6L,17900,homemaker
U0199,3-6L,86456,student
U0200,6-10L,72751,retired
U0201,<3L,75773,student
U0202,3-6L,22327,self-employed
U0203,>20L,58352,salaried
U0204,10-20L,88249,homemaker
U0205,6-10L,65421,student
U0206,<3L,89647,self-employed
U0207,<3L,76853,retired
U0208,<3L,16723,retired
U0209,>20L,47176,retired
U0210,>20L,35261,salaried
U0211,10-20L,30663,self-employed
U0212,10-20L,72445,student
U0213,>20L,67839,retired
U0214,6-10L,50359,self-employed
U0215,10-20L,90578,self-employed
U0216,3-6L,110918,homemaker
U0217,6-10L,5124,homemaker
U0218,3-6L,16682,homemaker
U0219,3-6L,109234,retired
U0220,3-6L,91763,retired
U0221,3-6L,60614,student
U0222,<3L,75877,retired
U0223,10-20L,84732,self-employed
U0224,<3L,7850,self-employed
U0225,3-6L,55613,student
U0226,<3L,111524,self-employed
U0227,<3L,78476,homemaker
U0228,<3L,75885,self-employed
U0229,10-20L,125251,student
U0230,6-10L,98270,student
U0231,3-6L,67215,salaried
